,Learning Rate,Max Depth,Boosting Count,R2
216,1.0,7,31,0.8675
217,1.0,7,32,0.87
218,1.0,7,33,0.875
219,1.0,7,34,0.875
220,1.0,7,35,0.8775
221,1.0,7,36,0.8725
222,1.0,7,37,0.87
223,1.0,7,38,0.87
224,1.0,7,39,0.8675
225,1.0,7,40,0.87
226,1.0,7,41,0.8675
227,1.0,7,42,0.8725
228,1.0,7,43,0.8725
229,1.0,7,44,0.87
230,1.0,7,45,0.8725
231,1.0,7,46,0.875
232,1.0,7,47,0.875
233,1.0,7,48,0.875
234,1.0,7,49,0.8775
235,1.0,8,3,0.845
236,1.0,8,4,0.8425
237,1.0,8,5,0.85
238,1.0,8,6,0.855
239,1.0,8,7,0.8575
240,1.0,8,8,0.8575
241,1.0,8,9,0.86
242,1.0,8,10,0.8625
243,1.0,8,11,0.8675
244,1.0,8,12,0.8675
245,1.0,8,13,0.8725
246,1.0,8,14,0.87
247,1.0,8,15,0.8725
248,1.0,8,16,0.875
249,1.0,8,17,0.8825
250,1.0,8,18,0.88
251,1.0,8,19,0.8775
252,1.0,8,20,0.88
253,1.0,8,21,0.8825
254,1.0,8,22,0.8825
255,1.0,8,23,0.8825
256,1.0,8,24,0.8875
257,1.0,8,25,0.8925
258,1.0,8,26,0.8875
259,1.0,8,27,0.8925
260,1.0,8,28,0.8875
261,1.0,8,29,0.8875
262,1.0,8,30,0.8925
263,1.0,8,31,0.8875
264,1.0,8,32,0.885
265,1.0,8,33,0.8875
266,1.0,8,34,0.8875
267,1.0,8,35,0.8875
268,1.0,8,36,0.8875
269,1.0,8,37,0.8825
270,1.0,8,38,0.8825
271,1.0,8,39,0.8825
272,1.0,8,40,0.8825
273,1.0,8,41,0.8825
274,1.0,8,42,0.8825
275,1.0,8,43,0.885
276,1.0,8,44,0.885
277,1.0,8,45,0.885
278,1.0,8,46,0.885
279,1.0,8,47,0.885
280,1.0,8,48,0.885
281,1.0,8,49,0.8825
282,1.0,9,3,0.85
283,1.0,9,4,0.8575
284,1.0,9,5,0.865
285,1.0,9,6,0.865
286,1.0,9,7,0.8825
287,1.0,9,8,0.89
288,1.0,9,9,0.8675
289,1.0,9,10,0.875
290,1.0,9,11,0.875
291,1.0,9,12,0.88
292,1.0,9,13,0.88
293,1.0,9,14,0.8775
294,1.0,9,15,0.8875
295,1.0,9,16,0.8925
296,1.0,9,17,0.885
297,1.0,9,18,0.895
298,1.0,9,19,0.8925
299,1.0,9,20,0.8875
300,1.0,9,21,0.885
301,1.0,9,22,0.885
302,1.0,9,23,0.8825
303,1.0,9,24,0.8825
304,1.0,9,25,0.88
305,1.0,9,26,0.885
306,1.0,9,27,0.885
307,1.0,9,28,0.885
308,1.0,9,29,0.8825
309,1.0,9,30,0.88
310,1.0,9,31,0.8825
311,1.0,9,32,0.885
312,1.0,9,33,0.885
313,1.0,9,34,0.8875
314,1.0,9,35,0.89
315,1.0,9,36,0.885
316,1.0,9,37,0.8875
317,1.0,9,38,0.885
318,1.0,9,39,0.885
319,1.0,9,40,0.885
320,1.0,9,41,0.885
321,1.0,9,42,0.8825
322,1.0,9,43,0.88
323,1.0,9,44,0.8825
324,1.0,9,45,0.88
325,1.0,9,46,0.8775
326,1.0,9,47,0.8775
327,1.0,9,48,0.8775
328,1.0,9,49,0.88
329,1.0,10,3,0.85
330,1.0,10,4,0.8625
331,1.0,10,5,0.8475
332,1.0,10,6,0.8575
333,1.0,10,7,0.8575
334,1.0,10,8,0.8725
335,1.0,10,9,0.865
336,1.0,10,10,0.8675
337,1.0,10,11,0.875
338,1.0,10,12,0.88
339,1.0,10,13,0.8825
340,1.0,10,14,0.8775
341,1.0,10,15,0.88
342,1.0,10,16,0.8825
343,1.0,10,17,0.88
344,1.0,10,18,0.8825
345,1.0,10,19,0.8875
346,1.0,10,20,0.8775
347,1.0,10,21,0.875
348,1.0,10,22,0.875
349,1.0,10,23,0.875
350,1.0,10,24,0.8775
351,1.0,10,25,0.8775
352,1.0,10,26,0.875
353,1.0,10,27,0.875
354,1.0,10,28,0.88
355,1.0,10,29,0.88
356,1.0,10,30,0.8775
357,1.0,10,31,0.8825
358,1.0,10,32,0.885
359,1.0,10,33,0.885
360,1.0,10,34,0.8875
361,1.0,10,35,0.885
362,1.0,10,36,0.8875
363,1.0,10,37,0.885
364,1.0,10,38,0.885
365,1.0,10,39,0.8875
366,1.0,10,40,0.8875
367,1.0,10,41,0.8875
368,1.0,10,42,0.8875
369,1.0,10,43,0.8875
370,1.0,10,44,0.8875
371,1.0,10,45,0.8875
372,1.0,10,46,0.8875
373,1.0,10,47,0.8875
374,1.0,10,48,0.8875
375,1.0,10,49,0.8875
376,1.0,11,3,0.85
377,1.0,11,4,0.8725
378,1.0,11,5,0.87
379,1.0,11,6,0.86
380,1.0,11,7,0.8675
381,1.0,11,8,0.87
382,1.0,11,9,0.8725
383,1.0,11,10,0.8775
384,1.0,11,11,0.8725
385,1.0,11,12,0.8825
386,1.0,11,13,0.8775
387,1.0,11,14,0.8825
388,1.0,11,15,0.8825
389,1.0,11,16,0.8875
390,1.0,11,17,0.8875
391,1.0,11,18,0.88
392,1.0,11,19,0.895
393,1.0,11,20,0.895
394,1.0,11,21,0.895
395,1.0,11,22,0.895
396,1.0,11,23,0.89
397,1.0,11,24,0.8925
398,1.0,11,25,0.8925
399,1.0,11,26,0.8925
400,1.0,11,27,0.895
401,1.0,11,28,0.89
402,1.0,11,29,0.8875
403,1.0,11,30,0.885
404,1.0,11,31,0.8875
405,1.0,11,32,0.8825
406,1.0,11,33,0.8825
407,1.0,11,34,0.8825
408,1.0,11,35,0.8825
409,1.0,11,36,0.8825
410,1.0,11,37,0.8825
411,1.0,11,38,0.8825
412,1.0,11,39,0.8825
413,1.0,11,40,0.8825
414,1.0,11,41,0.8825
415,1.0,11,42,0.8825
416,1.0,11,43,0.8825
417,1.0,11,44,0.8825
418,1.0,11,45,0.8825
419,1.0,11,46,0.8825
420,1.0,11,47,0.8825
421,1.0,11,48,0.8825
422,1.0,11,49,0.8825
423,1.0,12,3,0.8425
424,1.0,12,4,0.855
425,1.0,12,5,0.8575
426,1.0,12,6,0.8625
427,1.0,12,7,0.855
428,1.0,12,8,0.8575
429,1.0,12,9,0.86
430,1.0,12,10,0.8725
431,1.0,12,11,0.8725
432,1.0,12,12,0.8725
433,1.0,12,13,0.8775
434,1.0,12,14,0.8725
435,1.0,12,15,0.8825
436,1.0,12,16,0.8825
437,1.0,12,17,0.88
438,1.0,12,18,0.8825
439,1.0,12,19,0.885
440,1.0,12,20,0.8825
441,1.0,12,21,0.8775
442,1.0,12,22,0.8775
443,1.0,12,23,0.88
444,1.0,12,24,0.88
445,1.0,12,25,0.8825
446,1.0,12,26,0.8825
447,1.0,12,27,0.88
448,1.0,12,28,0.88
449,1.0,12,29,0.88
450,1.0,12,30,0.88
451,1.0,12,31,0.88
452,1.0,12,32,0.88
453,1.0,12,33,0.88
454,1.0,12,34,0.88
455,1.0,12,35,0.88
456,1.0,12,36,0.88
457,1.0,12,37,0.88
458,1.0,12,38,0.88
459,1.0,12,39,0.88
460,1.0,12,40,0.88
461,1.0,12,41,0.88
462,1.0,12,42,0.88
463,1.0,12,43,0.88
464,1.0,12,44,0.88
465,1.0,12,45,0.88
466,1.0,12,46,0.88
467,1.0,12,47,0.88
468,1.0,12,48,0.88
469,1.0,12,49,0.88
470,1.0,13,3,0.84
471,1.0,13,4,0.8375
472,1.0,13,5,0.8425
473,1.0,13,6,0.845
474,1.0,13,7,0.845
475,1.0,13,8,0.8425
476,1.0,13,9,0.8425
477,1.0,13,10,0.85
478,1.0,13,11,0.85
479,1.0,13,12,0.845
480,1.0,13,13,0.8475
481,1.0,13,14,0.85
482,1.0,13,15,0.85
483,1.0,13,16,0.85
484,1.0,13,17,0.8525
485,1.0,13,18,0.8525
486,1.0,13,19,0.8525
487,1.0,13,20,0.8525
488,1.0,13,21,0.8525
489,1.0,13,22,0.8525
490,1.0,13,23,0.8525
491,1.0,13,24,0.8525
492,1.0,13,25,0.8525
493,1.0,13,26,0.8525
494,1.0,13,27,0.8525
495,1.0,13,28,0.8525
496,1.0,13,29,0.8525
497,1.0,13,30,0.8525
498,1.0,13,31,0.8525
499,1.0,13,32,0.8525
500,1.0,13,33,0.8525
501,1.0,13,34,0.8525
502,1.0,13,35,0.8525
503,1.0,13,36,0.8525
504,1.0,13,37,0.8525
505,1.0,13,38,0.8525
506,1.0,13,39,0.8525
507,1.0,13,40,0.8525
508,1.0,13,41,0.8525
509,1.0,13,42,0.8525
510,1.0,13,43,0.8525
511,1.0,13,44,0.8525
512,1.0,13,45,0.8525
513,1.0,13,46,0.8525
514,1.0,13,47,0.8525
515,1.0,13,48,0.8525
516,1.0,13,49,0.8525
517,1.0,14,3,0.84
518,1.0,14,4,0.8375
519,1.0,14,5,0.8425
520,1.0,14,6,0.845
521,1.0,14,7,0.845
522,1.0,14,8,0.8425
523,1.0,14,9,0.8425
524,1.0,14,10,0.85
525,1.0,14,11,0.85
526,1.0,14,12,0.845
527,1.0,14,13,0.8475
528,1.0,14,14,0.85
529,1.0,14,15,0.85
530,1.0,14,16,0.85
531,1.0,14,17,0.8525
532,1.0,14,18,0.8525
533,1.0,14,19,0.8525
534,1.0,14,20,0.8525
535,1.0,14,21,0.8525
536,1.0,14,22,0.8525
537,1.0,14,23,0.8525
538,1.0,14,24,0.8525
539,1.0,14,25,0.8525
540,1.0,14,26,0.8525
541,1.0,14,27,0.8525
542,1.0,14,28,0.8525
543,1.0,14,29,0.8525
544,1.0,14,30,0.8525
545,1.0,14,31,0.8525
546,1.0,14,32,0.8525
547,1.0,14,33,0.8525
548,1.0,14,34,0.8525
549,1.0,14,35,0.8525
550,1.0,14,36,0.8525
551,1.0,14,37,0.8525
552,1.0,14,38,0.8525
553,1.0,14,39,0.8525
554,1.0,14,40,0.8525
555,1.0,14,41,0.8525
556,1.0,14,42,0.8525
557,1.0,14,43,0.8525
558,1.0,14,44,0.8525
559,1.0,14,45,0.8525
560,1.0,14,46,0.8525
561,1.0,14,47,0.8525
562,1.0,14,48,0.8525
563,1.0,14,49,0.8525
564,1.2915496650148839,3,3,0.8775
565,1.2915496650148839,3,4,0.87
566,1.2915496650148839,3,5,0.8625
567,1.2915496650148839,3,6,0.8775
568,1.2915496650148839,3,7,0.875
569,1.2915496650148839,3,8,0.875
570,1.2915496650148839,3,9,0.88
571,1.2915496650148839,3,10,0.87
572,1.2915496650148839,3,11,0.8775
573,1.2915496650148839,3,12,0.8625
574,1.2915496650148839,3,13,0.86
575,1.2915496650148839,3,14,0.86
576,1.2915496650148839,3,15,0.86
577,1.2915496650148839,3,16,0.8575
578,1.2915496650148839,3,17,0.8575
579,1.2915496650148839,3,18,0.86
580,1.2915496650148839,3,19,0.855
581,1.2915496650148839,3,20,0.8625
582,1.2915496650148839,3,21,0.8575
583,1.2915496650148839,3,22,0.8525
584,1.2915496650148839,3,23,0.8525
585,1.2915496650148839,3,24,0.85
586,1.2915496650148839,3,25,0.86
587,1.2915496650148839,3,26,0.86
588,1.2915496650148839,3,27,0.8625
589,1.2915496650148839,3,28,0.86
590,1.2915496650148839,3,29,0.8625
591,1.2915496650148839,3,30,0.8625
592,1.2915496650148839,3,31,0.8625
593,1.2915496650148839,3,32,0.865
594,1.2915496650148839,3,33,0.8675
595,1.2915496650148839,3,34,0.8675
596,1.2915496650148839,3,35,0.865
597,1.2915496650148839,3,36,0.865
598,1.2915496650148839,3,37,0.8625
599,1.2915496650148839,3,38,0.8625
600,1.2915496650148839,3,39,0.865
601,1.2915496650148839,3,40,0.865
602,1.2915496650148839,3,41,0.865
603,1.2915496650148839,3,42,0.865
604,1.2915496650148839,3,43,0.8625
605,1.2915496650148839,3,44,0.8625
606,1.2915496650148839,3,45,0.8625
607,1.2915496650148839,3,46,0.8625
608,1.2915496650148839,3,47,0.87
609,1.2915496650148839,3,48,0.86
610,1.2915496650148839,3,49,0.865
611,1.2915496650148839,4,3,0.88
612,1.2915496650148839,4,4,0.8775
613,1.2915496650148839,4,5,0.88
614,1.2915496650148839,4,6,0.875
615,1.2915496650148839,4,7,0.8725
616,1.2915496650148839,4,8,0.8725
617,1.2915496650148839,4,9,0.8725
618,1.2915496650148839,4,10,0.8825
619,1.2915496650148839,4,11,0.8825
620,1.2915496650148839,4,12,0.8675
621,1.2915496650148839,4,13,0.87
622,1.2915496650148839,4,14,0.87
623,1.2915496650148839,4,15,0.87
624,1.2915496650148839,4,16,0.8625
625,1.2915496650148839,4,17,0.8675
626,1.2915496650148839,4,18,0.87
627,1.2915496650148839,4,19,0.87
628,1.2915496650148839,4,20,0.87
629,1.2915496650148839,4,21,0.8725
630,1.2915496650148839,4,22,0.8725
631,1.2915496650148839,4,23,0.87
632,1.2915496650148839,4,24,0.8825
633,1.2915496650148839,4,25,0.8775
634,1.2915496650148839,4,26,0.88
635,1.2915496650148839,4,27,0.8775
636,1.2915496650148839,4,28,0.885
637,1.2915496650148839,4,29,0.885
638,1.2915496650148839,4,30,0.88
639,1.2915496650148839,4,31,0.885
640,1.2915496650148839,4,32,0.88
641,1.2915496650148839,4,33,0.8775
642,1.2915496650148839,4,34,0.8775
643,1.2915496650148839,4,35,0.885
644,1.2915496650148839,4,36,0.88
645,1.2915496650148839,4,37,0.885
646,1.2915496650148839,4,38,0.88
647,1.2915496650148839,4,39,0.8775
648,1.2915496650148839,4,40,0.8775
649,1.2915496650148839,4,41,0.88
650,1.2915496650148839,4,42,0.8825
651,1.2915496650148839,4,43,0.885
652,1.2915496650148839,4,44,0.885
653,1.2915496650148839,4,45,0.885
654,1.2915496650148839,4,46,0.8775
655,1.2915496650148839,4,47,0.8775
656,1.2915496650148839,4,48,0.8825
657,1.2915496650148839,4,49,0.8825
658,1.2915496650148839,5,3,0.8625
659,1.2915496650148839,5,4,0.865
660,1.2915496650148839,5,5,0.8675
661,1.2915496650148839,5,6,0.865
662,1.2915496650148839,5,7,0.8775
663,1.2915496650148839,5,8,0.8775
664,1.2915496650148839,5,9,0.8725
665,1.2915496650148839,5,10,0.875
666,1.2915496650148839,5,11,0.8675
667,1.2915496650148839,5,12,0.865
668,1.2915496650148839,5,13,0.8675
669,1.2915496650148839,5,14,0.8725
670,1.2915496650148839,5,15,0.865
671,1.2915496650148839,5,16,0.855
672,1.2915496650148839,5,17,0.8575
673,1.2915496650148839,5,18,0.8675
674,1.2915496650148839,5,19,0.8675
675,1.2915496650148839,5,20,0.86
676,1.2915496650148839,5,21,0.86
677,1.2915496650148839,5,22,0.865
678,1.2915496650148839,5,23,0.87
679,1.2915496650148839,5,24,0.8625
680,1.2915496650148839,5,25,0.8675
681,1.2915496650148839,5,26,0.8625
682,1.2915496650148839,5,27,0.86
683,1.2915496650148839,5,28,0.865
684,1.2915496650148839,5,29,0.8625
685,1.2915496650148839,5,30,0.865
686,1.2915496650148839,5,31,0.865
687,1.2915496650148839,5,32,0.8675
688,1.2915496650148839,5,33,0.87
689,1.2915496650148839,5,34,0.8675
690,1.2915496650148839,5,35,0.865
691,1.2915496650148839,5,36,0.8675
692,1.2915496650148839,5,37,0.8675
693,1.2915496650148839,5,38,0.8675
694,1.2915496650148839,5,39,0.8675
695,1.2915496650148839,5,40,0.87
696,1.2915496650148839,5,41,0.8675
697,1.2915496650148839,5,42,0.87
698,1.2915496650148839,5,43,0.87
699,1.2915496650148839,5,44,0.87
700,1.2915496650148839,5,45,0.8725
701,1.2915496650148839,5,46,0.875
702,1.2915496650148839,5,47,0.87
703,1.2915496650148839,5,48,0.8725
704,1.2915496650148839,5,49,0.875
705,1.2915496650148839,6,3,0.85
706,1.2915496650148839,6,4,0.8525
707,1.2915496650148839,6,5,0.855
708,1.2915496650148839,6,6,0.85
709,1.2915496650148839,6,7,0.8475
710,1.2915496650148839,6,8,0.8375
711,1.2915496650148839,6,9,0.835
712,1.2915496650148839,6,10,0.84
713,1.2915496650148839,6,11,0.8375
714,1.2915496650148839,6,12,0.8425
715,1.2915496650148839,6,13,0.8375
716,1.2915496650148839,6,14,0.8375
717,1.2915496650148839,6,15,0.8325
718,1.2915496650148839,6,16,0.8325
719,1.2915496650148839,6,17,0.8325
720,1.2915496650148839,6,18,0.835
721,1.2915496650148839,6,19,0.8325
722,1.2915496650148839,6,20,0.8325
723,1.2915496650148839,6,21,0.8325
724,1.2915496650148839,6,22,0.835
725,1.2915496650148839,6,23,0.8375
726,1.2915496650148839,6,24,0.83
727,1.2915496650148839,6,25,0.8375
728,1.2915496650148839,6,26,0.84
729,1.2915496650148839,6,27,0.8375
730,1.2915496650148839,6,28,0.8425
731,1.2915496650148839,6,29,0.835
732,1.2915496650148839,6,30,0.845
733,1.2915496650148839,6,31,0.845
734,1.2915496650148839,6,32,0.85
735,1.2915496650148839,6,33,0.85
736,1.2915496650148839,6,34,0.8525
737,1.2915496650148839,6,35,0.8525
738,1.2915496650148839,6,36,0.8525
739,1.2915496650148839,6,37,0.8525
740,1.2915496650148839,6,38,0.8525
741,1.2915496650148839,6,39,0.8575
742,1.2915496650148839,6,40,0.855
743,1.2915496650148839,6,41,0.855
744,1.2915496650148839,6,42,0.8575
745,1.2915496650148839,6,43,0.855
746,1.2915496650148839,6,44,0.855
747,1.2915496650148839,6,45,0.855
748,1.2915496650148839,6,46,0.8525
749,1.2915496650148839,6,47,0.85
750,1.2915496650148839,6,48,0.85
751,1.2915496650148839,6,49,0.8525
752,1.2915496650148839,7,3,0.8475
753,1.2915496650148839,7,4,0.8425
754,1.2915496650148839,7,5,0.8525
755,1.2915496650148839,7,6,0.8575
756,1.2915496650148839,7,7,0.8525
757,1.2915496650148839,7,8,0.8525
758,1.2915496650148839,7,9,0.86
759,1.2915496650148839,7,10,0.86
760,1.2915496650148839,7,11,0.8625
761,1.2915496650148839,7,12,0.8575
762,1.2915496650148839,7,13,0.8625
763,1.2915496650148839,7,14,0.86
764,1.2915496650148839,7,15,0.865
765,1.2915496650148839,7,16,0.87
766,1.2915496650148839,7,17,0.8725
767,1.2915496650148839,7,18,0.87
768,1.2915496650148839,7,19,0.8675
769,1.2915496650148839,7,20,0.875
770,1.2915496650148839,7,21,0.8725
771,1.2915496650148839,7,22,0.8675
772,1.2915496650148839,7,23,0.8675
773,1.2915496650148839,7,24,0.86
774,1.2915496650148839,7,25,0.865
775,1.2915496650148839,7,26,0.8725
776,1.2915496650148839,7,27,0.8725
777,1.2915496650148839,7,28,0.8675
778,1.2915496650148839,7,29,0.865
779,1.2915496650148839,7,30,0.8625
780,1.2915496650148839,7,31,0.8625
781,1.2915496650148839,7,32,0.865
782,1.2915496650148839,7,33,0.8625
783,1.2915496650148839,7,34,0.865
784,1.2915496650148839,7,35,0.865
785,1.2915496650148839,7,36,0.865
786,1.2915496650148839,7,37,0.8675
787,1.2915496650148839,7,38,0.87
788,1.2915496650148839,7,39,0.88
789,1.2915496650148839,7,40,0.8725
790,1.2915496650148839,7,41,0.875
791,1.2915496650148839,7,42,0.875
792,1.2915496650148839,7,43,0.88
793,1.2915496650148839,7,44,0.88
794,1.2915496650148839,7,45,0.88
795,1.2915496650148839,7,46,0.8825
796,1.2915496650148839,7,47,0.8825
797,1.2915496650148839,7,48,0.88
798,1.2915496650148839,7,49,0.88
799,1.2915496650148839,8,3,0.845
800,1.2915496650148839,8,4,0.8425
801,1.2915496650148839,8,5,0.8475
802,1.2915496650148839,8,6,0.8475
803,1.2915496650148839,8,7,0.85
804,1.2915496650148839,8,8,0.8575
805,1.2915496650148839,8,9,0.865
806,1.2915496650148839,8,10,0.87
807,1.2915496650148839,8,11,0.86
808,1.2915496650148839,8,12,0.8625
809,1.2915496650148839,8,13,0.8575
810,1.2915496650148839,8,14,0.8625
811,1.2915496650148839,8,15,0.86
812,1.2915496650148839,8,16,0.8675
813,1.2915496650148839,8,17,0.865
814,1.2915496650148839,8,18,0.8675
815,1.2915496650148839,8,19,0.865
816,1.2915496650148839,8,20,0.8625
817,1.2915496650148839,8,21,0.865
818,1.2915496650148839,8,22,0.86
819,1.2915496650148839,8,23,0.8675
820,1.2915496650148839,8,24,0.8675
821,1.2915496650148839,8,25,0.8725
822,1.2915496650148839,8,26,0.8725
823,1.2915496650148839,8,27,0.8675
824,1.2915496650148839,8,28,0.865
825,1.2915496650148839,8,29,0.8675
826,1.2915496650148839,8,30,0.8625
827,1.2915496650148839,8,31,0.8675
828,1.2915496650148839,8,32,0.87
829,1.2915496650148839,8,33,0.87
830,1.2915496650148839,8,34,0.8725
831,1.2915496650148839,8,35,0.875
832,1.2915496650148839,8,36,0.875
833,1.2915496650148839,8,37,0.875
834,1.2915496650148839,8,38,0.8825
835,1.2915496650148839,8,39,0.8775
836,1.2915496650148839,8,40,0.875
837,1.2915496650148839,8,41,0.8725
838,1.2915496650148839,8,42,0.875
839,1.2915496650148839,8,43,0.8725
840,1.2915496650148839,8,44,0.8725
841,1.2915496650148839,8,45,0.8725
842,1.2915496650148839,8,46,0.8725
843,1.2915496650148839,8,47,0.87
844,1.2915496650148839,8,48,0.88
845,1.2915496650148839,8,49,0.8775
846,1.2915496650148839,9,3,0.8375
847,1.2915496650148839,9,4,0.8425
848,1.2915496650148839,9,5,0.845
849,1.2915496650148839,9,6,0.855
850,1.2915496650148839,9,7,0.86
851,1.2915496650148839,9,8,0.8575
852,1.2915496650148839,9,9,0.855
853,1.2915496650148839,9,10,0.855
854,1.2915496650148839,9,11,0.8625
855,1.2915496650148839,9,12,0.8625
856,1.2915496650148839,9,13,0.875
